System,Title,Comments,Link
NES,Jackal,,
NES,Super Mario Bros. 3,,
SNES,Final Fantasy 3,"Suck it, nerds.",
NES,Final Fantasy,,
NES,Mega Man 2,,
NES,Double Dragon II: The Revenge,,
NES,Contra,,
SNES,Street Fighter II,,
SNES,Mega Man X,,
SNES,Zombies Ate My Neighbors,,
SNES,The Legend of Zelda: A Link to the Past,,
Playstation,Brave Fencer Musashi,,
Playstation,Final Fantasy Tactics,,
Playstation,Final Fantasy 7,,
Playstation,Castlevania: Symphony of the Night,,
Playstation,Metal Gear Solid,,
PC,Sid Meier's Civilization II,,
PC,ADOM: Ancient Domains of Mystery,,
PC,Baldur's Gate II: Shadows of Amn,,
PC,Planescape Torment,,
PC,Might and Magic VI: The Mandate of Heaven,,
PC,Fallout 2,,
PC,West of Loathing,,
PC,Factorio,,
PC,The Elder Scrolls III: Morrowind,,
PC,Grim Dawn,,
PC,Wayward,,
PC,Crimsonland,,
PC,Brogue,,
